workerId,condition,item,response,sender,sender_id,trial,vot,bias,resp_t
AQ5KOKZQSZU0B,tent-biasing,15_short_tent_3_50.wav,tent,Response,8_0_0_1,0,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,4_short_dent_2_10.wav,dent,Response,8_0_1_1,1,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,7_short_tent_1_50.wav,tent,Response,8_0_2_1,2,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,16_short_tent_3_50.wav,tent,Response,8_0_3_1,3,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,8_short_tent_1_50.wav,tent,Response,8_0_4_1,4,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,17_short_tent_3_50.wav,tent,Response,8_0_5_1,5,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,10_short_tent_1_50.wav,tent,Response,8_0_6_1,6,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,2_short_dent_2_10.wav,dent,Response,8_0_7_1,7,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,13_short_dent_1_10.wav,dent,Response,8_0_8_1,8,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,17_short_dent_1_10.wav,dent,Response,8_0_9_1,9,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,20_short_tent_2_50.wav,tent,Response,8_0_10_1,10,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,21_short_dent_3_10.wav,dent,Response,8_0_11_1,11,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,11_short_tent_3_50.wav,tent,Response,8_0_12_1,12,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,18_short_tent_3_50.wav,tent,Response,8_0_13_1,13,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,18_short_dent_2_10.wav,dent,Response,8_0_14_1,14,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,5_short_dent_1_10.wav,dent,Response,8_0_15_1,15,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,13_short_tent_3_50.wav,tent,Response,8_0_16_1,16,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,19_short_dent_1_10.wav,dent,Response,8_0_17_1,17,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,6_short_tent_2_50.wav,tent,Response,8_0_18_1,18,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,7_short_dent_2_10.wav,dent,Response,8_0_19_1,19,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,3_short_dent_1_10.wav,dent,Response,8_0_20_1,20,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,9_short_tent_3_50.wav,tent,Response,8_0_21_1,21,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,1_short_dent_3_10.wav,dent,Response,8_0_22_1,22,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,10_short_dent_1_10.wav,dent,Response,8_0_23_1,23,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,4_short_tent_3_50.wav,tent,Response,8_0_24_1,24,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,12_short_dent_3_10.wav,dent,Response,8_0_25_1,25,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,1_short_tent_3_50.wav,tent,Response,8_0_26_1,26,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,11_short_dent_2_10.wav,dent,Response,8_0_27_1,27,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,15_short_dent_2_10.wav,dent,Response,8_0_28_1,28,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,9_short_dent_1_10.wav,dent,Response,8_0_29_1,29,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,2_short_tent_3_50.wav,tent,Response,8_0_30_1,30,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,8_short_dent_3_10.wav,dent,Response,8_0_31_1,31,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,21_short_tent_3_50.wav,tent,Response,8_0_32_1,32,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,12_short_tent_2_50.wav,tent,Response,8_0_33_1,33,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,5_short_tent_2_50.wav,tent,Response,8_0_34_1,34,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,19_short_tent_5_50.wav,tent,Response,8_0_35_1,35,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,20_short_dent_2_10.wav,dent,Response,8_0_36_1,36,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,16_short_dent_3_10.wav,dent,Response,8_0_37_1,37,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,6_short_dent_1_10.wav,dent,Response,8_0_38_1,38,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,3_short_tent_1_50.wav,tent,Response,8_0_39_1,39,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,6_short_dent_1_10.wav,dent,Response,8_0_40_1,40,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,16_short_tent_3_50.wav,tent,Response,8_0_41_1,41,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,21_short_dent_3_10.wav,dent,Response,8_0_42_1,42,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,13_short_dent_1_10.wav,dent,Response,8_0_43_1,43,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,4_short_dent_2_10.wav,dent,Response,8_0_44_1,44,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,17_short_dent_1_10.wav,dent,Response,8_0_45_1,45,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,19_short_tent_5_50.wav,tent,Response,8_0_46_1,46,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,1_short_dent_3_10.wav,dent,Response,8_0_47_1,47,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,4_short_tent_3_50.wav,tent,Response,8_0_48_1,48,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,12_short_dent_3_10.wav,dent,Response,8_0_49_1,49,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,20_short_tent_2_50.wav,tent,Response,8_0_50_1,50,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,17_short_tent_3_50.wav,tent,Response,8_0_51_1,51,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,19_short_dent_1_10.wav,dent,Response,8_0_52_1,52,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,18_short_dent_2_10.wav,dent,Response,8_0_53_1,53,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,2_short_dent_2_10.wav,dent,Response,8_0_54_1,54,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,15_short_dent_2_10.wav,dent,Response,8_0_55_1,55,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,8_short_tent_1_50.wav,tent,Response,8_0_56_1,56,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,9_short_dent_1_10.wav,dent,Response,8_0_57_1,57,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,5_short_tent_2_50.wav,tent,Response,8_0_58_1,58,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,20_short_dent_2_10.wav,dent,Response,8_0_59_1,59,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,11_short_dent_2_10.wav,dent,Response,8_0_60_1,60,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,21_short_tent_3_50.wav,tent,Response,8_0_61_1,61,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,5_short_dent_1_10.wav,dent,Response,8_0_62_1,62,10,dent,false
AQ5KOKZQSZU0B,tent-biasing,1_short_tent_3_50.wav,tent,Response,8_0_63_1,63,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,2_short_tent_3_50.wav,tent,Response,8_0_64_1,64,50,tent,true
AQ5KOKZQSZU0B,tent-biasing,16_short_dent_3_10.wav,dent,Response,8_0_65_1,65,10,dent,false
