sender,workerId,audioequip,age,sex,ethnicity,race,raceother,born,parent,lang,comments
Quesionnaire Form,ARWN6TT8EWCFJ,Over-the-ear headphones (cost more than $100),33,Male,NonHisp,FALSE,NA,yes,yes,NA,NA
Quesionnaire Form,AQ5KOKZQSZU0B,In-ear headphones/earbuds (cost $30 or less),31,Female,NonHisp,FALSE,NA,yes,yes,NA,no I did not hear anything else
Quesionnaire Form,A15J42M6EC7Y1K,Over-the-ear headphones (cost $100 or less),30,Male,NonHisp,FALSE,NA,yes,yes,NA,Thanks!
Quesionnaire Form,A1VR1XQEQQXYUE,In-ear headphones/earbuds (cost $30 or less),31,Female,NonHisp,FALSE,NA,yes,yes,NA,nope!
Quesionnaire Form,A3R5OJR60C6004,Over-the-ear headphones (cost $30 or less),45,Male,NonHisp,FALSE,NA,yes,yes,NA,After several trials both words started to blend together
Quesionnaire Form,A3IPQOLO0RNF3K,In-ear headphones/earbuds (cost $100 or less),32,Male,Hisp,FALSE,NA,yes,yes,English,Good
Quesionnaire Form,A248LF7KKHXZ14,In-ear headphones/earbuds (cost $100 or less),46,Female,NonHisp,FALSE,NA,yes,yes,NA,all good
Quesionnaire Form,AR1IWBDA7MC86,In-ear headphones/earbuds (cost $100 or less),33,Male,NonHisp,FALSE,NA,yes,yes,NA,NA
Quesionnaire Form,A3A261115H5MGR,In-ear headphones/earbuds (cost $100 or less),27,Male,NonHisp,FALSE,NA,yes,yes,NA,it was nice
Quesionnaire Form,A23KAJRDVCVGOE,In-ear headphones/earbuds (cost $30 or less),41,Male,NonHisp,FALSE,NA,no,yes,NA,NA
Quesionnaire Form,A2FARB7LA24AU8,In-ear headphones/earbuds (cost $30 or less),36,Female,NonHisp,FALSE,NA,yes,yes,NA,NA
Quesionnaire Form,A2C73Y1COWCA51,In-ear headphones/earbuds (cost $30 or less),28,Male,Hisp,FALSE,NA,no,yes,NA,no issues
Quesionnaire Form,AZNIEFUIVB2H0,In-ear headphones/earbuds (cost $100 or less),52,Male,NonHisp,FALSE,NA,yes,yes,NA,NA
Quesionnaire Form,A2VNSNAN1LZBAM,Over-the-ear headphones (cost $100 or less),62,Female,NonHisp,FALSE,NA,yes,yes,NA,NA
Quesionnaire Form,A19WXS1CLVLEEX,Over-the-ear headphones (cost $100 or less),66,Male,NonHisp,FALSE,NA,yes,yes,NA,no
