condition,stimulus,response,sender,sender_id,block,duration,item,item_block,time,audioequip,age,sex,ethnicity,race,raceother,born,parent,lang,comments,block_id,resp_t,vot,new_ID
tent-biasing,NA,NA,Sounds,3_3_0_0,NA,4252.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3_,NA,NA,1974
tent-biasing,NA,NA,Sounds,3_3_1_0,NA,4252.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3_,NA,NA,1974
tent-biasing,NA,NA,Sounds,3_3_2_0,NA,4252.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3_,NA,NA,1974
tent-biasing,NA,NA,Sounds,3_3_3_0,NA,4252.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3_,NA,NA,1974
tent-biasing,NA,NA,Sounds,3_3_4_0,NA,4252.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3_,NA,NA,1974
tent-biasing,NA,NA,Sounds,3_3_5_0,NA,4252.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3_,NA,NA,1974
tent-biasing,continuum_15,tent,Sounds,6_0_0_1,NA,972.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,15,1974
tent-biasing,continuum_65,tent,Sounds,6_0_1_1,NA,1.620999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,65,1974
tent-biasing,continuum_35,tent,Sounds,6_0_2_1,NA,21.28200001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,35,1974
tent-biasing,continuum_70,dent,Sounds,6_0_3_1,NA,331.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,FALSE,70,1974
tent-biasing,continuum_10,dent,Sounds,6_0_4_1,NA,69.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,FALSE,10,1974
tent-biasing,continuum_40,dent,Sounds,6_0_5_1,NA,84.78999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,FALSE,40,1974
tent-biasing,continuum_25,dent,Sounds,6_0_6_1,NA,146.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,FALSE,25,1974
tent-biasing,continuum_75,dent,Sounds,6_0_7_1,NA,91.21400001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,FALSE,75,1974
tent-biasing,continuum_60,tent,Sounds,6_0_8_1,NA,96.62799999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,60,1974
tent-biasing,continuum_80,dent,Sounds,6_0_9_1,NA,5.107999992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,FALSE,80,1974
tent-biasing,continuum_55,tent,Sounds,6_0_10_1,NA,3.955000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,55,1974
tent-biasing,continuum_20,tent,Sounds,6_0_11_1,NA,99.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,20,1974
tent-biasing,continuum_45,tent,Sounds,6_0_12_1,NA,82.28600001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,45,1974
tent-biasing,continuum_30,tent,Sounds,6_0_13_1,NA,82.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,30,1974
tent-biasing,continuum_50,tent,Sounds,6_0_14_1,NA,82.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,50,1974
tent-biasing,continuum_85,tent,Sounds,6_0_15_1,NA,100.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,85,1974
tent-biasing,continuum_80,tent,Sounds,6_1_0_1,NA,90.03699999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,80,1974
tent-biasing,continuum_35,dent,Sounds,6_1_1_1,NA,120.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,FALSE,35,1974
tent-biasing,continuum_45,tent,Sounds,6_1_2_1,NA,110.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_,TRUE,45,1974
